"gene_id","ILSGR0260r_S1_BC1.bam","ILSGR0260r_S1_BC10.bam","ILSGR0260r_S1_BC11.bam","ILSGR0260r_S1_BC12.bam","ILSGR0260r_S1_BC13.bam","ILSGR0260r_S1_BC14.bam","ILSGR0260r_S1_BC15.bam","ILSGR0260r_S1_BC16.bam","ILSGR0260r_S1_BC17.bam","ILSGR0260r_S1_BC18.bam","ILSGR0260r_S1_BC19.bam","ILSGR0260r_S1_BC2.bam","ILSGR0260r_S1_BC20.bam","ILSGR0260r_S1_BC21.bam","ILSGR0260r_S1_BC22.bam","ILSGR0260r_S1_BC23.bam","ILSGR0260r_S1_BC24.bam","ILSGR0260r_S1_BC25.bam","ILSGR0260r_S1_BC26.bam","ILSGR0260r_S1_BC27.bam","ILSGR0260r_S1_BC28.bam","ILSGR0260r_S1_BC29.bam","ILSGR0260r_S1_BC3.bam","ILSGR0260r_S1_BC30.bam","ILSGR0260r_S1_BC31.bam","ILSGR0260r_S1_BC32.bam","ILSGR0260r_S1_BC33.bam","ILSGR0260r_S1_BC34.bam","ILSGR0260r_S1_BC35.bam","ILSGR0260r_S1_BC36.bam","ILSGR0260r_S1_BC37.bam","ILSGR0260r_S1_BC38.bam","ILSGR0260r_S1_BC39.bam","ILSGR0260r_S1_BC4.bam","ILSGR0260r_S1_BC40.bam","ILSGR0260r_S1_BC5.bam","ILSGR0260r_S1_BC6.bam","ILSGR0260r_S1_BC7.bam","ILSGR0260r_S1_BC8.bam","ILSGR0260r_S1_BC9.bam"
"75030",0,2,0,0,5,0,0,0,6,0,2,0,0,4,0,0,0,0,0,0,0,3,0,18,0,12,0,3,0,0,6,4,0,6,0,0,10,0,0,7
"20503",0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,4,11,0,0,17,0,8,0,0,0,0,17,6,0,0,2
"52468",0,83,0,0,35,2,14,24,11,0,14,29,1,30,0,4,6,0,0,8,128,0,1,54,5,11,0,6,0,0,84,1,13,32,0,5,0,22,0,37
"66399",0,13,0,0,56,0,0,0,5,2,19,2,0,0,0,9,0,0,0,56,0,2,5,0,0,24,0,5,0,0,2,2,6,38,0,14,14,8,0,57
"17299",0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,18,1,0,15,0,0,1,0,0,0,0,0,4
"12567",0,57,2,0,154,20,26,0,142,13,102,7,8,24,0,111,41,0,0,235,5,29,48,11,5,130,0,60,75,0,177,19,16,107,37,14,91,136,1,157
"67125",1,71,0,5,157,0,0,0,134,49,29,11,6,77,0,17,0,0,29,27,18,36,30,110,7,14,0,91,50,0,241,0,18,71,0,58,46,3,0,55
"216439",0,2,0,0,2,1,1,0,1,0,0,5,11,4,0,2,0,0,0,0,0,0,0,1,2,10,0,2,0,0,30,7,0,0,0,0,4,0,0,1
"216440",0,20,0,0,41,11,0,1,22,1,1,16,0,11,0,27,6,0,0,6,3,13,0,39,5,7,0,54,30,0,55,0,14,0,3,12,18,0,4,35
"14421",0,11,0,1,27,35,0,0,30,1,80,0,0,2,0,5,6,0,1,16,19,14,5,46,0,40,0,24,8,0,33,16,2,40,0,0,25,0,0,32
